JD Term,Candidate Term,Candidate ID,Original V2 Rank,Rank if Synonym Matched,Score Delta,Feature Affected
ui/ux,ux,CAND_0078921,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0003923,14525,129,3.5,skill_depth_affinity
ui/ux,ui,CAND_0032962,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0016333,26877,366,3.5,skill_depth_affinity
ui/ux,ui,CAND_0068067,6893,41,3.5,skill_depth_affinity
ui/ux,ux,CAND_0068067,6893,41,3.5,skill_depth_affinity
ui/ux,ui,CAND_0025452,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0025452,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0028745,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0016118,9532,74,3.5,skill_depth_affinity
ui/ux,ui,CAND_0000769,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0000769,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0011930,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0011930,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0011502,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0011502,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0072979,195,1,3.5,skill_depth_affinity
ui/ux,ui,CAND_0005446,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0093113,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0093113,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0052300,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0052300,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0015979,580,1,3.5,skill_depth_affinity
ui/ux,ui,CAND_0036201,1141,2,3.5,skill_depth_affinity
ui/ux,ui,CAND_0021214,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0044315,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0031914,398,1,3.5,skill_depth_affinity
ui/ux,ui,CAND_0046023,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0046023,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0008997,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0078142,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0081687,2718,7,3.5,skill_depth_affinity
ui/ux,ui,CAND_0034104,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0051749,8485,60,3.5,skill_depth_affinity
ui/ux,ui,CAND_0089331,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0065168,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0073823,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0029337,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0034443,2043,4,3.5,skill_depth_affinity
ui/ux,ui,CAND_0004063,33507,572,3.5,skill_depth_affinity
ui/ux,ui,CAND_0092378,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0040510,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0087368,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0038260,999999,51422,3.5,skill_depth_affinity
ui/ux,ux,CAND_0038260,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0087250,10050,78,3.5,skill_depth_affinity
ui/ux,ui,CAND_0035608,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0012871,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0046696,999999,51422,3.5,skill_depth_affinity
ui/ux,ui,CAND_0059757,999999,51422,3.5,skill_depth_affinity
