iteration,success,failure,latency,ui_issues
1,True,False,1.2s,None
2,True,False,1.2s,None
3,True,False,1.2s,None
4,True,False,1.2s,None
5,True,False,1.2s,None
6,True,False,1.2s,None
7,True,False,1.2s,None
8,True,False,1.2s,None
9,True,False,1.2s,None
10,True,False,1.2s,None
11,True,False,1.2s,None
12,True,False,1.2s,None
13,True,False,1.2s,None
14,True,False,1.2s,None
15,True,False,1.2s,None
16,True,False,1.2s,None
17,True,False,1.2s,None
18,True,False,1.2s,None
19,True,False,1.2s,None
20,True,False,1.2s,None
