resume_id,ground_truth_title,parsed_title
11759079,Professional,Director
13072019,Executive,Manager
80053367,Professional,Lead
36425270,Specialist,Manager
23636277,Consultant,Analyst
39674178,Executive,Manager
24703009,Director,Manager
14496667,Officer,Manager
13491889,Executive,Consultant
18132924,Executive,Manager
82649935,Professional,Manager
43685045,Professional,Lead
28111403,Executive,�  L2000  Leadership Academy
30741799,Professional,Lead
72652441,Specialist,Manager
17254634,Professional,Lead
24695561,Executive,Manager
19234823,Director,Manager
40088790,Specialist,Manager
32965335,Engineer,Manager
23577836,Executive,Director
20765795,Specialist,*Learning To Lead Certificate
19108760,Director,Manager
24068423,Officer,Consultant
18264694,Executive,Manager
26070334,Specialist,Batch Record Coordinator / Document Control         Summary
28733974,Executive,Manager
19851252,Professional,Engineer
26921245,Professional,Lead
62994611,Developer,Engineer
30344127,Analyst,Engineer
19070271,Professional,Engineer
20905088,Director,Manager
21807211,Specialist,Director
16500168,Director,Manager
35121930,Professional,Engineer
27091280,Specialist,Manager
78273826,Director,Manager
14304010,Director,Manager
27096796,Professional,Lead
24349611,Specialist,Manager
73497035,Analyst,Manager
18029935,Executive,Director
34304175,Executive,Manager
11995013,Professional,Lead
99033098,Executive,Manager
20148147,Consultant,Manager
16887936,Specialist,Manager
36379931,Executive,Director
33344933,Professional,Lead
84295343,Professional,Lead
24592627,Officer,Manager
15210069,Specialist,Manager
17483843,Specialist,Engineer
36252245,Specialist,Excellent Leadership Skills
25625173,Executive,Manager
30148777,Professional,Manager
11137306,Specialist,Engineer
11333001,Professional,Manager
27902692,Specialist,Engineer
17008356,Executive,Manager
12043694,Officer,Manager
22168194,Professional,Lead
31536294,Specialist,Engineer
38663892,Specialist,Manager
82738323,Professional,Lead
21796843,Consultant,Manager
27606527,Analyst,Manager
26987539,Specialist,Manager
25200253,Analyst,Manager
11842348,Director,Manager
13393401,Officer,Manager
15856762,Executive,Manager
45167858,Specialist,Manager
34953092,Analyst,Engineer
77156708,Officer,Manager
65864767,Executive,Manager
11262933,Executive,Manager
41152404,Analyst,Engineer
63158213,Engineer,Configuration Of Mpls Wan Routers  Cisco Call Manager And
24964303,Director,Manager
15423153,Executive,Manager
14752209,Director,Manager
14055971,Executive,Director
10235211,Executive,Specialist
14726000,Consultant,Manager
33424600,Specialist,Manager
12230301,Specialist,Manager
35673335,Consultant,Manager
18236085,Director,Manager
24412546,Executive,Manager
28396528,Specialist,Manager
28230807,Director,Manager
21611637,Executive,Manager
25924968,Executive,Manager
24709432,Specialist,Manager
27298953,Consultant,Partner With Teacher In
23568731,Professional,Lead
21101152,Executive,Consultant
57262959,Specialist,Manager
