resume_id,ground_truth_years,parsed_years
11759079,5,20
26975573,26,40
13072019,20,43
80053367,16,26
15906625,11,24
36425270,4,17
49997097,10,20
23636277,7,17
29050809,26,36
19545827,17,28
24703009,10,26
28298773,11,20
14496667,7,18
18132924,9,18
24799301,35,52
39115899,10,21
82649935,5,16
43685045,9,23
10659182,13,25
17021141,24,34
28111403,20,31
36392131,21,36
30741799,7,18
72652441,14,21
15958967,23,32
17254634,7,18
24695561,27,39
20138606,9,18
19234823,21,35
29173771,39,45
74191424,9,20
37333719,15,25
40088790,6,19
32965335,3,29
20765795,14,24
12544735,7,17
22042181,30,43
19108760,13,29
24068423,15,26
18264694,19,43
26070334,28,36
28733974,33,44
28165687,10,21
20006992,30,40
36102323,14,25
26921245,6,17
62994611,9,14
14140903,8,17
30344127,15,27
19070271,16,22
20905088,35,47
21807211,9,17
16500168,5,15
29640922,15,26
10876132,16,27
35603950,6,18
27694040,8,21
35121930,19,28
27091280,14,25
31761591,18,29
14413257,14,28
27099856,11,22
16985289,16,26
78273826,16,26
31362807,35,47
14304010,4,14
27096796,11,23
24349611,28,38
73497035,7,16
18029935,24,42
34304175,9,24
11995013,7,19
99033098,26,39
14248724,16,27
12334650,17,29
36758947,6,18
16887936,5,18
83206166,9,19
36379931,6,17
11555549,23,37
24983760,20,31
30594821,1,12
25926667,6,17
33344933,19,30
97449528,12,23
11257723,13,26
15210069,0,11
17483843,10,22
36252245,0,34
25625173,37,48
30148777,9,22
11137306,9,21
11333001,20,26
38047274,26,37
17008356,10,17
19506295,14,24
70198580,13,25
22168194,10,16
17694572,6,19
31536294,12,21
