candidate_id,matched_skills_real,missing_skills_real,evidence_valid,no_hallucinations
CAND_0,True,True,True,True
CAND_1,True,True,True,True
CAND_2,True,True,True,True
CAND_3,True,True,True,True
CAND_4,True,True,True,True
CAND_5,True,True,True,True
CAND_6,True,True,True,True
CAND_7,True,True,True,True
CAND_8,True,True,True,True
CAND_9,True,True,True,True
CAND_10,True,True,True,True
CAND_11,True,True,True,True
CAND_12,True,True,True,True
CAND_13,True,True,True,True
CAND_14,True,True,True,True
CAND_15,True,True,True,True
CAND_16,True,True,True,True
CAND_17,True,True,True,True
CAND_18,True,True,True,True
CAND_19,True,True,True,True
CAND_20,True,True,True,True
CAND_21,True,True,True,True
CAND_22,True,True,True,True
CAND_23,True,True,True,True
CAND_24,True,True,True,True
CAND_25,True,True,True,True
CAND_26,True,True,True,True
CAND_27,True,True,True,True
CAND_28,True,True,True,True
CAND_29,True,True,True,True
CAND_30,True,True,True,True
CAND_31,True,True,True,True
CAND_32,True,True,True,True
CAND_33,True,True,True,True
CAND_34,True,True,True,True
CAND_35,True,True,True,True
CAND_36,True,True,True,True
CAND_37,True,True,True,True
CAND_38,True,True,True,True
CAND_39,True,True,True,True
CAND_40,True,True,True,True
CAND_41,True,True,True,True
CAND_42,True,True,True,True
CAND_43,True,True,True,True
CAND_44,True,True,True,True
CAND_45,True,True,True,True
CAND_46,True,True,True,True
CAND_47,True,True,True,True
CAND_48,True,True,True,True
CAND_49,True,True,True,True
