absolute_path,extracted_skill,evidence_in_text
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,oracle database,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,data visualization,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,llms,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,soc,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,quality management,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,payment systems,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,product management,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,serverless,False
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,data science,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\adodbapi\license.txt,troubleshooting,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\adodbapi\readme.txt,c#,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\adodbapi\readme.txt,3d printing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\adodbapi\readme.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\botocore-1.43.16.dist-info\LICENSE.txt,content marketing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\botocore-1.43.16.dist-info\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\click-8.4.1.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\click-8.4.1.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\colorama-0.4.6.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\colorama-0.4.6.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\h11-0.16.0.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\httplib2\cacerts.txt,c#,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\httplib2\cacerts.txt,cryptography,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\jinja2-3.1.6.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\jinja2-3.1.6.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\joblib-1.5.3.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\joblib-1.5.3.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\markupsafe-3.0.3.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\markupsafe-3.0.3.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\networkx-3.6.1.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\networkx-3.6.1.dist-info\licenses\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\numpy\_core\include\numpy\random\LICENSE.txt,technical writing,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\numpy-2.4.6.dist-info\licenses\LICENSE.txt,assembly,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\numpy-2.4.6.dist-info\licenses\LICENSE.txt,ui/ux,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\numpy-2.4.6.dist-info\licenses\LICENSE.txt,supply chain,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\numpy-2.4.6.dist-info\licenses\LICENSE.txt,oil and gas,False
C:\Users\krish\Documents\signalhire\backend\venv\Lib\site-packages\numpy-2.4.6.dist-info\licenses\LICENSE.txt,technical writing,False
