Metric,Value
total_resumes,2484
duplicate_resumes,2
near_duplicate_resumes,34
category_INFORMATION-TECHNOLOGY,120
category_BUSINESS-DEVELOPMENT,120
category_ADVOCATE,118
category_CHEF,118
category_FINANCE,118
category_ENGINEERING,118
category_ACCOUNTANT,118
category_FITNESS,117
category_AVIATION,117
category_SALES,116
category_HEALTHCARE,115
category_CONSULTANT,115
category_BANKING,115
category_CONSTRUCTION,112
category_PUBLIC-RELATIONS,111
category_HR,110
category_DESIGNER,107
category_ARTS,103
category_TEACHER,102
category_APPAREL,97
category_DIGITAL-MEDIA,96
category_AGRICULTURE,63
category_AUTOMOBILE,36
category_BPO,22
