raw_extracted_title,normalization_rule_applied,ontology_match_selected,similarity_score,final_normalized_title,ground_truth_title
Director,partial lookup alias substring match,Director,Low (Substring),Director,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Analyst,partial lookup alias substring match,Analyst,Low (Substring),Analyst,Consultant
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Officer
Consultant,partial lookup alias substring match,Consultant,Low (Substring),Consultant,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Professional
Lead,none,Lead,Low (Substring),Lead,Professional
�  L2000  Leadership Academy,partial lookup alias substring match,Lead,Low (Substring),Lead,Executive
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Engineer
Director,partial lookup alias substring match,Director,Low (Substring),Director,Executive
*Learning To Lead Certificate,partial lookup alias substring match,Lead,Low (Substring),Lead,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Consultant,partial lookup alias substring match,Consultant,Low (Substring),Consultant,Officer
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Batch Record Coordinator / Document Control         Summary,none,Batch Record Coordinator / Document Control         Summary,Low (Substring),Batch Record Coordinator / Document Control         Summary,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Professional
Lead,none,Lead,Low (Substring),Lead,Professional
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Developer
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Analyst
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Director,partial lookup alias substring match,Director,Low (Substring),Director,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Analyst
Director,partial lookup alias substring match,Director,Low (Substring),Director,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Consultant
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Director,partial lookup alias substring match,Director,Low (Substring),Director,Executive
Lead,none,Lead,Low (Substring),Lead,Professional
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Officer
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Specialist
Excellent Leadership Skills,partial lookup alias substring match,Lead,Low (Substring),Lead,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Professional
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Professional
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Officer
Lead,none,Lead,Low (Substring),Lead,Professional
Engineer,partial lookup alias substring match,Engineer,Low (Substring),Engineer,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Lead,none,Lead,Low (Substring),Lead,Professional
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Consultant
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Analyst
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Analyst
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Director
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Officer
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Executive
Manager,partial lookup alias substring match,Manager,Low (Substring),Manager,Specialist
