Domain,Skill,Status
RF,RF Design,Added
RF,RF Testing,Added
RF,Microwave Engineering,Added
RF,Antenna Design,Added
RF,HFSS,Added
RF,ADS,Added
RF,CST,Added
VLSI,Verilog,Added
VLSI,VHDL,Added
VLSI,UVM,Added
VLSI,FPGA,Added
VLSI,ASIC,Added
VLSI,STA,Added
VLSI,DFT,Added
Electronics,Altium,Added
Electronics,Cadence,Added
Electronics,KiCad,Added
Electronics,PCB Design,Added
Embedded,RTOS,Added
Embedded,Firmware,Added
Embedded,Microcontrollers,Added
Embedded,ARM,Added
Embedded,Cortex,Added
Solar,PVsyst,Added
Solar,Solar Design,Added
Solar,Solar Installation,Added
Manufacturing,Lean Six Sigma,Added
Manufacturing,SPC,Added
Manufacturing,Root Cause Analysis,Added
Manufacturing,CNC,Added
Automotive,CATIA,Added
Automotive,SolidWorks,Added
Automotive,ANSYS,Added
Automotive,CANalyzer,Added
Medical,GCP,Added
Medical,EDC,Added
Medical,Clinical Trials,Added
Telecom,LTE,Added
Telecom,5G,Added
Telecom,BGP,Added
Telecom,OSPF,Added
Energy,Renewable Energy,Added
Energy,Grid Integration,Added
