resume_id,ground_truth_rank,parsed_rank,absolute_rank_shift
1,36,32,4
2,18,14,4
3,2,2,0
4,27,29,2
5,26,17,9
6,1,1,0
7,31,33,2
8,24,27,3
9,15,18,3
10,10,10,0
11,37,38,1
12,30,31,1
13,35,37,2
14,32,34,2
15,6,5,1
16,16,11,5
17,8,8,0
18,38,39,1
19,13,15,2
20,40,40,0
21,49,50,1
22,23,26,3
23,20,25,5
24,33,30,3
25,39,41,2
26,4,6,2
27,12,12,0
28,48,45,3
29,50,49,1
30,14,16,2
31,34,35,1
32,9,9,0
33,42,42,0
34,29,24,5
35,11,13,2
36,41,36,5
37,46,46,0
38,19,23,4
39,43,43,0
40,22,22,0
41,7,7,0
42,3,3,0
43,28,20,8
44,17,19,2
45,44,44,0
46,25,28,3
47,45,47,2
48,5,4,1
49,21,21,0
50,47,48,1
