candidate,score,matched_skills,missing_skills,YOE_contribution,title_contribution,final_explanation
h_cand_0_S_0,86,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_M_3,88,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_S_1,60,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_M_0,63,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_M_1,79,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_M_4,85,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_M_2,90,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_2,77,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_1,81,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_7,82,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_6,90,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_4,89,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_5,89,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_3,65,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_0_W_0,67,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_S_1,90,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_S_0,64,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_M_4,89,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_M_1,67,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_M_3,73,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_M_0,88,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_M_2,85,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_6,61,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_4,76,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_3,89,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_0,81,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_7,65,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_5,89,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_2,86,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_1_W_1,83,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_S_0,60,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_M_1,61,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_M_0,69,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_M_3,62,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_S_1,77,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_M_2,87,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_M_4,68,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_7,78,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_6,85,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_1,78,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_5,77,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_2,90,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_0,88,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_3,79,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_2_W_4,66,"Python, SQL, AWS",Kubernetes,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_3_S_0,83,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_3_S_1,62,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_3_M_4,82,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_3_M_2,78,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
h_cand_3_M_3,63,"Python, SQL, AWS",None,+15 pts,+25 pts,"Strong alignment on title and YOE, minor skill gaps."
