candidate_id,cluster
cand_0_W_2,transferability overvalued
cand_0_W_4,YOE overweighting
cand_0_W_6,domain mismatch
cand_0_W_1,transferability overvalued
cand_0_S_1,YOE overweighting
cand_0_W_7,title mismatch
cand_0_M_2,missing hard skill weighting
cand_0_M_1,YOE overweighting
cand_0_M_4,title mismatch
cand_1_W_2,missing hard skill weighting
cand_1_W_0,YOE overweighting
cand_1_W_4,transferability overvalued
cand_1_W_7,title mismatch
cand_1_W_1,missing hard skill weighting
cand_1_W_5,YOE overweighting
cand_1_M_1,missing hard skill weighting
cand_1_M_3,YOE overweighting
cand_1_S_1,transferability overvalued
cand_1_S_0,YOE overweighting
cand_1_M_2,YOE overweighting
cand_2_M_3,domain mismatch
cand_2_W_1,missing hard skill weighting
cand_2_W_0,title mismatch
cand_2_W_5,missing hard skill weighting
cand_2_W_2,YOE overweighting
cand_2_W_3,missing hard skill weighting
cand_2_W_7,title mismatch
cand_2_S_0,YOE overweighting
cand_2_S_1,YOE overweighting
cand_2_M_1,missing hard skill weighting
cand_2_M_2,missing hard skill weighting
cand_3_W_2,transferability overvalued
cand_3_W_1,YOE overweighting
cand_3_W_3,title mismatch
cand_3_W_0,missing hard skill weighting
cand_3_W_7,title mismatch
cand_3_S_1,YOE overweighting
cand_3_M_2,title mismatch
cand_3_M_3,YOE overweighting
cand_3_S_0,domain mismatch
cand_3_M_1,missing hard skill weighting
cand_3_W_4,missing hard skill weighting
cand_4_M_4,education undervaluing
cand_4_W_5,title mismatch
cand_4_S_0,missing hard skill weighting
cand_4_W_0,other
cand_4_W_4,YOE overweighting
cand_4_W_7,domain mismatch
cand_4_W_2,YOE overweighting
cand_4_M_0,missing hard skill weighting
cand_4_M_1,missing hard skill weighting
cand_4_M_2,missing hard skill weighting
cand_4_M_3,education undervaluing
cand_4_W_6,YOE overweighting
cand_5_M_2,YOE overweighting
cand_5_M_3,missing hard skill weighting
cand_5_W_6,education undervaluing
cand_5_S_1,title mismatch
cand_5_W_3,YOE overweighting
cand_5_W_2,YOE overweighting
cand_5_W_5,title mismatch
cand_5_S_0,missing hard skill weighting
cand_5_M_1,title mismatch
cand_5_M_4,missing hard skill weighting
cand_5_W_0,title mismatch
cand_6_W_0,missing hard skill weighting
cand_6_W_6,YOE overweighting
cand_6_W_5,YOE overweighting
cand_6_W_2,domain mismatch
cand_6_W_4,title mismatch
cand_6_W_1,missing hard skill weighting
cand_6_M_4,education overweighting
cand_6_M_2,YOE overweighting
cand_6_S_1,title mismatch
cand_6_M_1,transferability overvalued
cand_6_S_0,missing hard skill weighting
