jd_id,candidate_id,expected_rank,actual_rank
jd_0,cand_0_W_2,12,1
jd_0,cand_0_W_4,12,2
jd_0,cand_0_W_6,12,4
jd_0,cand_0_W_1,12,6
jd_0,cand_0_S_1,1,8
jd_0,cand_0_W_7,12,9
jd_0,cand_0_M_2,5,10
jd_0,cand_0_M_1,5,14
jd_0,cand_0_M_4,5,15
jd_1,cand_1_W_2,12,1
jd_1,cand_1_W_0,12,2
jd_1,cand_1_W_4,12,3
jd_1,cand_1_W_7,12,4
jd_1,cand_1_W_1,12,7
jd_1,cand_1_W_5,12,8
jd_1,cand_1_M_1,5,9
jd_1,cand_1_M_3,5,12
jd_1,cand_1_S_1,1,13
jd_1,cand_1_S_0,1,14
jd_1,cand_1_M_2,5,15
jd_2,cand_2_M_3,5,1
jd_2,cand_2_W_1,12,2
jd_2,cand_2_W_0,12,4
jd_2,cand_2_W_5,12,5
jd_2,cand_2_W_2,12,6
jd_2,cand_2_W_3,12,8
jd_2,cand_2_W_7,12,9
jd_2,cand_2_S_0,1,10
jd_2,cand_2_S_1,1,13
jd_2,cand_2_M_1,5,14
jd_2,cand_2_M_2,5,15
jd_3,cand_3_W_2,12,1
jd_3,cand_3_W_1,12,2
jd_3,cand_3_W_3,12,5
jd_3,cand_3_W_0,12,6
jd_3,cand_3_W_7,12,7
jd_3,cand_3_S_1,1,8
jd_3,cand_3_M_2,5,9
jd_3,cand_3_M_3,5,11
jd_3,cand_3_S_0,1,12
jd_3,cand_3_M_1,5,14
jd_3,cand_3_W_4,12,15
jd_4,cand_4_M_4,5,2
jd_4,cand_4_W_5,12,3
jd_4,cand_4_S_0,1,4
jd_4,cand_4_W_0,12,5
jd_4,cand_4_W_4,12,6
jd_4,cand_4_W_7,12,7
jd_4,cand_4_W_2,12,8
jd_4,cand_4_M_0,5,9
jd_4,cand_4_M_1,5,10
jd_4,cand_4_M_2,5,12
jd_4,cand_4_M_3,5,14
jd_4,cand_4_W_6,12,15
jd_5,cand_5_M_2,5,1
jd_5,cand_5_M_3,5,2
jd_5,cand_5_W_6,12,4
jd_5,cand_5_S_1,1,5
jd_5,cand_5_W_3,12,6
jd_5,cand_5_W_2,12,7
jd_5,cand_5_W_5,12,8
jd_5,cand_5_S_0,1,9
jd_5,cand_5_M_1,5,10
jd_5,cand_5_M_4,5,14
jd_5,cand_5_W_0,12,15
jd_6,cand_6_W_0,12,1
jd_6,cand_6_W_6,12,2
jd_6,cand_6_W_5,12,3
jd_6,cand_6_W_2,12,5
jd_6,cand_6_W_4,12,6
jd_6,cand_6_W_1,12,8
jd_6,cand_6_M_4,5,9
jd_6,cand_6_M_2,5,12
jd_6,cand_6_S_1,1,13
jd_6,cand_6_M_1,5,14
jd_6,cand_6_S_0,1,15
jd_7,cand_7_M_1,5,1
jd_7,cand_7_W_5,12,3
jd_7,cand_7_S_1,1,4
jd_7,cand_7_W_0,12,5
jd_7,cand_7_W_7,12,6
jd_7,cand_7_W_4,12,7
jd_7,cand_7_W_2,12,8
jd_7,cand_7_M_0,5,9
jd_7,cand_7_M_2,5,10
jd_7,cand_7_M_4,5,11
jd_7,cand_7_M_3,5,12
jd_7,cand_7_W_3,12,15
jd_8,cand_8_W_6,12,1
jd_8,cand_8_W_5,12,2
jd_8,cand_8_W_3,12,3
jd_8,cand_8_W_1,12,6
jd_8,cand_8_W_0,12,7
jd_8,cand_8_W_2,12,8
jd_8,cand_8_M_3,5,9
jd_8,cand_8_M_4,5,10
jd_8,cand_8_M_2,5,11
jd_8,cand_8_S_1,1,12
jd_8,cand_8_S_0,1,15
jd_9,cand_9_M_1,5,1
jd_9,cand_9_W_1,12,2
jd_9,cand_9_W_0,12,4
jd_9,cand_9_S_1,1,5
jd_9,cand_9_W_3,12,8
jd_9,cand_9_W_4,12,9
jd_9,cand_9_S_0,1,12
jd_9,cand_9_M_3,5,13
jd_9,cand_9_W_7,12,15
jd_10,cand_10_W_1,12,1
jd_10,cand_10_M_2,5,2
jd_10,cand_10_W_3,12,4
jd_10,cand_10_W_2,12,5
jd_10,cand_10_W_7,12,8
jd_10,cand_10_S_0,1,9
jd_10,cand_10_M_4,5,11
jd_10,cand_10_M_3,5,15
jd_11,cand_11_M_1,5,1
jd_11,cand_11_W_0,12,2
jd_11,cand_11_W_4,12,3
jd_11,cand_11_W_3,12,4
jd_11,cand_11_S_1,1,5
