absolute_path,source,type,size_bytes,creation_timestamp,modification_timestamp
C:\Users\krish\Documents\signalhire\lgbm_ranker.txt,signalhire,txt,367381,2026-06-04 20:06:30,2026-06-07 09:03:47
C:\Users\krish\Documents\signalhire\lgbm_ranker_A.txt,signalhire,txt,366692,2026-06-07 08:52:54,2026-06-07 08:52:54
C:\Users\krish\Documents\signalhire\lgbm_ranker_B.txt,signalhire,txt,366937,2026-06-07 08:52:54,2026-06-07 08:52:54
C:\Users\krish\Documents\signalhire\lgbm_ranker_C.txt,signalhire,txt,367381,2026-06-07 08:52:54,2026-06-07 08:52:54
C:\Users\krish\Documents\signalhire\backend\audit_results.txt,backend,txt,32472,2026-06-12 20:50:59,2026-06-12 20:52:08
C:\Users\krish\Documents\signalhire\backend\real_validation_output.txt,backend,txt,48776,2026-06-13 10:07:42,2026-06-13 10:11:12
C:\Users\krish\Documents\signalhire\backend\resume_1.pdf,backend,pdf,1573,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_10.pdf,backend,pdf,1591,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_11.pdf,backend,pdf,1582,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_12.pdf,backend,pdf,1315,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_13.pdf,backend,pdf,1313,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_14.pdf,backend,pdf,1571,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_15.pdf,backend,pdf,1320,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_16.pdf,backend,pdf,1567,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_17.pdf,backend,pdf,1584,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_18.pdf,backend,pdf,1572,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_19.pdf,backend,pdf,1596,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_2.pdf,backend,pdf,1579,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_20.pdf,backend,pdf,1576,2026-06-12 18:33:43,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_21.pdf,backend,pdf,1581,2026-06-12 18:49:55,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_22.pdf,backend,pdf,1575,2026-06-12 18:49:55,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_23.pdf,backend,pdf,1308,2026-06-12 18:49:55,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_24.pdf,backend,pdf,1570,2026-06-12 18:49:55,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_25.pdf,backend,pdf,1585,2026-06-12 18:49:55,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_26.pdf,backend,pdf,1326,2026-06-12 18:49:55,2026-06-13 09:20:57
C:\Users\krish\Documents\signalhire\backend\resume_27.pdf,backend,pdf,1566,2026-06-12 18:49:55,2026-06-13 09:20:57
