Resume ID,Ground Truth Skills,Extracted Skills,True Positives,False Positives,False Negatives,Precision,Recall
41,Machine Learning; Node.js; TensorFlow; Kubernetes; PyTorch; SQL,SQL; Node.js; TensorFlow; Kubernetes; JavaScript; PyTorch; Machine Learning,6,1,0,0.86,1.00
8,Machine Learning; C++; TensorFlow; Docker,Machine Learning; TensorFlow; C++; Docker,4,0,0,1.00,1.00
2,Python; Node.js; TensorFlow; React; PyTorch; SQL,Python; Node.js; TensorFlow; React; JavaScript; PyTorch; SQL,6,1,0,0.86,1.00
18,SQL; Docker; React; Machine Learning; Java,SQL; Docker; React; Machine Learning; Java,5,0,0,1.00,1.00
16,AWS; C++; React; Node.js,Node.js; React; AWS; JavaScript; C++,4,1,0,0.80,1.00
15,Node.js; Docker; AWS; C++; PyTorch; Machine Learning; Java,Node.js; Docker; AWS; JavaScript; C++; PyTorch; Machine Learning; Java,7,1,0,0.88,1.00
9,Python; Node.js; TensorFlow; AWS; JavaScript; SQL,Python; Node.js; TensorFlow; AWS; JavaScript; SQL,6,0,0,1.00,1.00
7,Node.js; React; AWS; JavaScript; SQL,Node.js; React; AWS; JavaScript; SQL,5,0,0,1.00,1.00
35,Node.js; Docker; React; Kubernetes; JavaScript,Node.js; Docker; React; Kubernetes; JavaScript,5,0,0,1.00,1.00
6,TensorFlow; React; Kubernetes; JavaScript; AWS; SQL; Java,TensorFlow; React; Kubernetes; JavaScript; AWS; SQL; Java,7,0,0,1.00,1.00
