resume_id,skill,evidence_snippet,reason_missed
res_0,React Native,...built with react-native...,hyphenation not matched by ontology
res_1,React Native,...built with react-native...,hyphenation not matched by ontology
res_2,React Native,...built with react-native...,hyphenation not matched by ontology
res_3,React Native,...built with react-native...,hyphenation not matched by ontology
res_4,React Native,...built with react-native...,hyphenation not matched by ontology
res_5,React Native,...built with react-native...,hyphenation not matched by ontology
res_6,React Native,...built with react-native...,hyphenation not matched by ontology
res_7,React Native,...built with react-native...,hyphenation not matched by ontology
res_8,React Native,...built with react-native...,hyphenation not matched by ontology
res_9,React Native,...built with react-native...,hyphenation not matched by ontology
res_10,React Native,...built with react-native...,hyphenation not matched by ontology
res_11,React Native,...built with react-native...,hyphenation not matched by ontology
res_12,React Native,...built with react-native...,hyphenation not matched by ontology
res_13,React Native,...built with react-native...,hyphenation not matched by ontology
res_14,React Native,...built with react-native...,hyphenation not matched by ontology
res_15,React Native,...built with react-native...,hyphenation not matched by ontology
res_16,React Native,...built with react-native...,hyphenation not matched by ontology
res_17,React Native,...built with react-native...,hyphenation not matched by ontology
res_18,React Native,...built with react-native...,hyphenation not matched by ontology
res_19,React Native,...built with react-native...,hyphenation not matched by ontology
res_20,React Native,...built with react-native...,hyphenation not matched by ontology
res_21,React Native,...built with react-native...,hyphenation not matched by ontology
res_22,React Native,...built with react-native...,hyphenation not matched by ontology
res_23,React Native,...built with react-native...,hyphenation not matched by ontology
res_24,React Native,...built with react-native...,hyphenation not matched by ontology
res_25,React Native,...built with react-native...,hyphenation not matched by ontology
res_26,React Native,...built with react-native...,hyphenation not matched by ontology
res_27,React Native,...built with react-native...,hyphenation not matched by ontology
res_28,React Native,...built with react-native...,hyphenation not matched by ontology
res_29,React Native,...built with react-native...,hyphenation not matched by ontology
res_30,React Native,...built with react-native...,hyphenation not matched by ontology
res_31,React Native,...built with react-native...,hyphenation not matched by ontology
res_32,React Native,...built with react-native...,hyphenation not matched by ontology
res_33,React Native,...built with react-native...,hyphenation not matched by ontology
res_34,React Native,...built with react-native...,hyphenation not matched by ontology
res_35,React Native,...built with react-native...,hyphenation not matched by ontology
res_36,React Native,...built with react-native...,hyphenation not matched by ontology
res_37,React Native,...built with react-native...,hyphenation not matched by ontology
res_38,React Native,...built with react-native...,hyphenation not matched by ontology
res_39,React Native,...built with react-native...,hyphenation not matched by ontology
res_40,React Native,...built with react-native...,hyphenation not matched by ontology
res_41,React Native,...built with react-native...,hyphenation not matched by ontology
res_42,React Native,...built with react-native...,hyphenation not matched by ontology
res_43,React Native,...built with react-native...,hyphenation not matched by ontology
res_44,React Native,...built with react-native...,hyphenation not matched by ontology
res_45,React Native,...built with react-native...,hyphenation not matched by ontology
res_46,React Native,...built with react-native...,hyphenation not matched by ontology
res_47,React Native,...built with react-native...,hyphenation not matched by ontology
res_48,React Native,...built with react-native...,hyphenation not matched by ontology
res_49,React Native,...built with react-native...,hyphenation not matched by ontology
res_50,React Native,...built with react-native...,hyphenation not matched by ontology
res_51,React Native,...built with react-native...,hyphenation not matched by ontology
res_52,React Native,...built with react-native...,hyphenation not matched by ontology
res_53,React Native,...built with react-native...,hyphenation not matched by ontology
res_54,React Native,...built with react-native...,hyphenation not matched by ontology
res_55,React Native,...built with react-native...,hyphenation not matched by ontology
res_56,React Native,...built with react-native...,hyphenation not matched by ontology
res_57,React Native,...built with react-native...,hyphenation not matched by ontology
res_58,React Native,...built with react-native...,hyphenation not matched by ontology
res_59,React Native,...built with react-native...,hyphenation not matched by ontology
res_60,React Native,...built with react-native...,hyphenation not matched by ontology
res_61,React Native,...built with react-native...,hyphenation not matched by ontology
res_62,React Native,...built with react-native...,hyphenation not matched by ontology
res_63,React Native,...built with react-native...,hyphenation not matched by ontology
res_64,React Native,...built with react-native...,hyphenation not matched by ontology
res_65,React Native,...built with react-native...,hyphenation not matched by ontology
res_66,React Native,...built with react-native...,hyphenation not matched by ontology
res_67,React Native,...built with react-native...,hyphenation not matched by ontology
res_68,React Native,...built with react-native...,hyphenation not matched by ontology
res_69,React Native,...built with react-native...,hyphenation not matched by ontology
res_70,React Native,...built with react-native...,hyphenation not matched by ontology
res_71,React Native,...built with react-native...,hyphenation not matched by ontology
res_72,React Native,...built with react-native...,hyphenation not matched by ontology
res_73,React Native,...built with react-native...,hyphenation not matched by ontology
res_74,React Native,...built with react-native...,hyphenation not matched by ontology
