resume_id,skill,evidence_snippet,trigger_alias,reason_extracted
res_0,Information Technology,...working in it...,it,word boundary check failed on stopword
res_1,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_2,Information Technology,...working in it...,it,word boundary check failed on stopword
res_3,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_4,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_5,Information Technology,...working in it...,it,word boundary check failed on stopword
res_6,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_7,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_8,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_9,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_10,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_11,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_12,Information Technology,...working in it...,c,word boundary check failed on stopword
res_13,Information Technology,...working in it...,c,word boundary check failed on stopword
res_14,Information Technology,...working in it...,c,word boundary check failed on stopword
res_15,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_16,Information Technology,...working in it...,it,word boundary check failed on stopword
res_17,Information Technology,...working in it...,it,word boundary check failed on stopword
res_18,Information Technology,...working in it...,it,word boundary check failed on stopword
res_19,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_20,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_21,Information Technology,...working in it...,it,word boundary check failed on stopword
res_22,Information Technology,...working in it...,it,word boundary check failed on stopword
res_23,Information Technology,...working in it...,it,word boundary check failed on stopword
res_24,Information Technology,...working in it...,c,word boundary check failed on stopword
res_25,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_26,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_27,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_28,Information Technology,...working in it...,c,word boundary check failed on stopword
res_29,Information Technology,...working in it...,c,word boundary check failed on stopword
res_30,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_31,Information Technology,...working in it...,c,word boundary check failed on stopword
res_32,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_33,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_34,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_35,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_36,Information Technology,...working in it...,js,word boundary check failed on stopword
res_37,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_38,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_39,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_40,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_41,Information Technology,...working in it...,c,word boundary check failed on stopword
res_42,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_43,Information Technology,...working in it...,it,word boundary check failed on stopword
res_44,Information Technology,...working in it...,c,word boundary check failed on stopword
res_45,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_46,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_47,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_48,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_49,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_50,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_51,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_52,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_53,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_54,Information Technology,...working in it...,it,word boundary check failed on stopword
res_55,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_56,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_57,Information Technology,...working in it...,c,word boundary check failed on stopword
res_58,Information Technology,...working in it...,js,word boundary check failed on stopword
res_59,Information Technology,...working in it...,js,word boundary check failed on stopword
res_60,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_61,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_62,Information Technology,...working in it...,c,word boundary check failed on stopword
res_63,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_64,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_65,Information Technology,...working in it...,js,word boundary check failed on stopword
res_66,Information Technology,...working in it...,c,word boundary check failed on stopword
res_67,Information Technology,...working in it...,it,word boundary check failed on stopword
res_68,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_69,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_70,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_71,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_72,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_73,Information Technology,...working in it...,js,word boundary check failed on stopword
res_74,Information Technology,...working in it...,js,word boundary check failed on stopword
res_75,Information Technology,...working in it...,js,word boundary check failed on stopword
res_76,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_77,Information Technology,...working in it...,js,word boundary check failed on stopword
res_78,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_79,Information Technology,...working in it...,js,word boundary check failed on stopword
res_80,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_81,Information Technology,...working in it...,it,word boundary check failed on stopword
res_82,Information Technology,...working in it...,ad,word boundary check failed on stopword
res_83,Information Technology,...working in it...,it,word boundary check failed on stopword
res_84,Information Technology,...working in it...,c,word boundary check failed on stopword
res_85,Information Technology,...working in it...,c,word boundary check failed on stopword
res_86,Information Technology,...working in it...,it,word boundary check failed on stopword
res_87,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_88,Information Technology,...working in it...,c,word boundary check failed on stopword
res_89,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_90,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_91,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_92,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_93,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_94,Information Technology,...working in it...,js,word boundary check failed on stopword
res_95,Information Technology,...working in it...,it,word boundary check failed on stopword
res_96,Information Technology,...working in it...,c,word boundary check failed on stopword
res_97,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_98,Information Technology,...working in it...,c,word boundary check failed on stopword
res_99,Information Technology,...working in it...,c,word boundary check failed on stopword
res_100,Information Technology,...working in it...,ui,word boundary check failed on stopword
res_101,Information Technology,...working in it...,c,word boundary check failed on stopword
res_102,Information Technology,...working in it...,c,word boundary check failed on stopword
res_103,Information Technology,...working in it...,tf,word boundary check failed on stopword
res_104,Information Technology,...working in it...,it,word boundary check failed on stopword
res_105,Information Technology,...working in it...,js,word boundary check failed on stopword
res_106,Information Technology,...working in it...,js,word boundary check failed on stopword
res_107,Information Technology,...working in it...,js,word boundary check failed on stopword
res_108,Information Technology,...working in it...,it,word boundary check failed on stopword
