resume_id,skill,trigger_alias,evidence_snippet
11759079,r,r,Snippet
13072019,sap,sap,Snippet
80053367,sap,sap,Snippet
80053367,hipaa,hipaa,Snippet
49997097,r,r,Snippet
23636277,r,r,Snippet
23636277,sap,sap,Snippet
29050809,r,r,Snippet
29050809,sap,sap,Snippet
18669563,edc,edc,Snippet
24703009,c,c,Snippet
17556527,c,c,Snippet
17556527,r,r,Snippet
28298773,sap,sap,Snippet
18132924,sap,sap,Snippet
39115899,sap,sap,Snippet
17021141,rust,rust,Snippet
28111403,c,c,Snippet
15958967,html,html,Snippet
17254634,hipaa,hipaa,Snippet
32965335,r,r,Snippet
32965335,lte,lte,Snippet
12544735,hipaa,hipaa,Snippet
19108760,c,c,Snippet
24068423,css,css,Snippet
24068423,html,html,Snippet
24068423,r,r,Snippet
24068423,php,php,Snippet
24068423,javascript,javascript,Snippet
26070334,ads,ads,Snippet
36102323,linux,linux,Snippet
62994611,nltk,nltk,Snippet
62994611,mongodb,mongodb,Snippet
62994611,javascript,javascript,Snippet
62994611,css,css,Snippet
62994611,tensorflow,tensorflow,Snippet
62994611,pandas,pandas,Snippet
62994611,html,html,Snippet
62994611,matlab,matlab,Snippet
62994611,c#,c#,Snippet
62994611,keras,keras,Snippet
62994611,scikit-learn,scikit-learn,Snippet
62994611,flask,flask,Snippet
62994611,node.js,node.js,Snippet
62994611,tableau,tableau,Snippet
14140903,c,c,Snippet
14140903,r,r,Snippet
30344127,root cause analysis,root cause analysis,Snippet
30344127,spc,spc,Snippet
30344127,tableau,tableau,Snippet
19070271,tcp/ip,tcp/ip,Snippet
21807211,c,c,Snippet
21807211,sap,sap,Snippet
35603950,html,html,Snippet
27091280,go,go,Snippet
14413257,html,html,Snippet
14413257,cnc,cnc,Snippet
14413257,css,css,Snippet
14413257,php,php,Snippet
16985289,react,react,Snippet
24349611,c,c,Snippet
24349611,r,r,Snippet
11995013,go,go,Snippet
99033098,hipaa,hipaa,Snippet
12334650,r,r,Snippet
36758947,c,c,Snippet
16887936,html,html,Snippet
16887936,salesforce,salesforce,Snippet
83206166,chef,chef,Snippet
36379931,salesforce,salesforce,Snippet
25926667,sap,sap,Snippet
25926667,hipaa,hipaa,Snippet
33344933,c,c,Snippet
99680385,c,c,Snippet
99680385,kanban,kanban,Snippet
99680385,catia,catia,Snippet
17686472,sap,sap,Snippet
17686472,autocad,autocad,Snippet
36252245,html,html,Snippet
36252245,salesforce,salesforce,Snippet
25625173,r,r,Snippet
11137306,c,c,Snippet
27902692,dhcp,dhcp,Snippet
27902692,windows server,windows server,Snippet
27902692,dns,dns,Snippet
81588968,c,c,Snippet
12043694,dhcp,dhcp,Snippet
12043694,r,r,Snippet
12043694,windows server,windows server,Snippet
12043694,tcp/ip,tcp/ip,Snippet
19506295,ansys,ansys,Snippet
19506295,lean six sigma,lean six sigma,Snippet
19506295,c++,c++,Snippet
19506295,matlab,matlab,Snippet
19506295,autocad,autocad,Snippet
19506295,solidworks,solidworks,Snippet
31536294,lean six sigma,lean six sigma,Snippet
22990761,c,c,Snippet
24154692,c,c,Snippet
24154692,root cause analysis,root cause analysis,Snippet
38663892,sap,sap,Snippet
13393401,c,c,Snippet
34953092,c,c,Snippet
34953092,r,r,Snippet
34953092,matlab,matlab,Snippet
34953092,c++,c++,Snippet
77156708,confluence,confluence,Snippet
77156708,jira,jira,Snippet
77156708,salesforce,salesforce,Snippet
72876163,gdpr,gdpr,Snippet
65864767,c,c,Snippet
65864767,r,r,Snippet
41651672,salesforce,salesforce,Snippet
18208580,c,c,Snippet
41152404,linux,linux,Snippet
41152404,powershell,powershell,Snippet
41152404,c,c,Snippet
41152404,html,html,Snippet
41152404,jira,jira,Snippet
41152404,c++,c++,Snippet
41152404,c#,c#,Snippet
41152404,javascript,javascript,Snippet
63158213,windows server,windows server,Snippet
63158213,vpn,vpn,Snippet
63158213,css,css,Snippet
63158213,r,r,Snippet
63158213,bgp,bgp,Snippet
63158213,ospf,ospf,Snippet
63158213,vlan,vlan,Snippet
63158213,dhcp,dhcp,Snippet
63158213,firewalls,firewalls,Snippet
63158213,load balancing,load balancing,Snippet
63158213,dns,dns,Snippet
95625660,c,c,Snippet
95625660,microsoft dynamics,microsoft dynamics,Snippet
82118447,c,c,Snippet
24964303,salesforce,salesforce,Snippet
15423153,html,html,Snippet
15423153,ads,ads,Snippet
14752209,sap,sap,Snippet
14752209,salesforce,salesforce,Snippet
95382114,renewable energy,renewable energy,Snippet
14055971,hipaa,hipaa,Snippet
12546838,linux,linux,Snippet
12546838,r,r,Snippet
12546838,sap,sap,Snippet
31273310,html,html,Snippet
10235211,spark,spark,Snippet
19557384,c,c,Snippet
19557384,c++,c++,Snippet
19557384,html,html,Snippet
12230301,ads,ads,Snippet
35673335,go,go,Snippet
17730889,c,c,Snippet
26278597,c,c,Snippet
26278597,r,r,Snippet
13888506,salesforce,salesforce,Snippet
20748929,ads,ads,Snippet
24412546,r,r,Snippet
19268120,chef,chef,Snippet
28396528,chef,chef,Snippet
28230807,chef,chef,Snippet
