resume_id,ground_truth_skills,parsed_skills,true_positives,false_positives,false_negatives,precision,recall
11759079,17 skills,17 skills,13,4,4,0.7647058823529411,0.7647058823529411
26975573,13 skills,14 skills,10,4,3,0.7142857142857143,0.7692307692307693
13072019,20 skills,20 skills,16,4,4,0.8,0.8
80053367,22 skills,21 skills,15,6,7,0.7142857142857143,0.6818181818181818
15906625,15 skills,17 skills,11,6,4,0.6470588235294118,0.7333333333333333
36425270,20 skills,17 skills,11,6,9,0.6470588235294118,0.55
49997097,21 skills,14 skills,11,3,10,0.7857142857142857,0.5238095238095238
23636277,17 skills,17 skills,13,4,4,0.7647058823529411,0.7647058823529411
39674178,26 skills,20 skills,17,3,9,0.85,0.6538461538461539
27980446,15 skills,18 skills,12,6,3,0.6666666666666666,0.8
29050809,22 skills,17 skills,15,2,7,0.8823529411764706,0.6818181818181818
19545827,24 skills,28 skills,20,8,4,0.7142857142857143,0.8333333333333334
18669563,23 skills,24 skills,18,6,5,0.75,0.782608695652174
24703009,23 skills,19 skills,14,5,9,0.7368421052631579,0.6086956521739131
17556527,24 skills,22 skills,15,7,9,0.6818181818181818,0.625
28298773,15 skills,13 skills,10,3,5,0.7692307692307693,0.6666666666666666
14496667,19 skills,20 skills,14,6,5,0.7,0.7368421052631579
13491889,26 skills,25 skills,18,7,8,0.72,0.6923076923076923
18132924,23 skills,17 skills,13,4,10,0.7647058823529411,0.5652173913043478
24799301,22 skills,19 skills,13,6,9,0.6842105263157895,0.5909090909090909
39115899,19 skills,21 skills,16,5,3,0.7619047619047619,0.8421052631578947
82649935,28 skills,26 skills,18,8,10,0.6923076923076923,0.6428571428571429
43685045,25 skills,23 skills,18,5,7,0.782608695652174,0.72
10659182,22 skills,22 skills,16,6,6,0.7272727272727273,0.7272727272727273
17021141,22 skills,22 skills,15,7,7,0.6818181818181818,0.6818181818181818
28111403,20 skills,18 skills,14,4,6,0.7777777777777778,0.7
36392131,22 skills,22 skills,15,7,7,0.6818181818181818,0.6818181818181818
30741799,29 skills,22 skills,19,3,10,0.8636363636363636,0.6551724137931034
72652441,23 skills,15 skills,13,2,10,0.8666666666666667,0.5652173913043478
15958967,26 skills,24 skills,16,8,10,0.6666666666666666,0.6153846153846154
17254634,25 skills,24 skills,17,7,8,0.7083333333333334,0.68
24695561,22 skills,26 skills,18,8,4,0.6923076923076923,0.8181818181818182
20138606,21 skills,18 skills,14,4,7,0.7777777777777778,0.6666666666666666
19234823,22 skills,22 skills,15,7,7,0.6818181818181818,0.6818181818181818
29173771,23 skills,24 skills,18,6,5,0.75,0.782608695652174
18725071,21 skills,22 skills,14,8,7,0.6363636363636364,0.6666666666666666
74191424,19 skills,20 skills,14,6,5,0.7,0.7368421052631579
37333719,25 skills,20 skills,17,3,8,0.85,0.68
40088790,26 skills,19 skills,17,2,9,0.8947368421052632,0.6538461538461539
32965335,21 skills,14 skills,12,2,9,0.8571428571428571,0.5714285714285714
23577836,18 skills,17 skills,15,2,3,0.8823529411764706,0.8333333333333334
54067174,23 skills,24 skills,18,6,5,0.75,0.782608695652174
20765795,17 skills,21 skills,14,7,3,0.6666666666666666,0.8235294117647058
12544735,20 skills,19 skills,11,8,9,0.5789473684210527,0.55
22042181,20 skills,20 skills,15,5,5,0.75,0.75
19108760,22 skills,20 skills,12,8,10,0.6,0.5454545454545454
24068423,21 skills,25 skills,17,8,4,0.68,0.8095238095238095
10953078,26 skills,24 skills,17,7,9,0.7083333333333334,0.6538461538461539
18264694,29 skills,25 skills,20,5,9,0.8,0.6896551724137931
26070334,14 skills,18 skills,10,8,4,0.5555555555555556,0.7142857142857143
28733974,20 skills,23 skills,16,7,4,0.6956521739130435,0.8
28165687,24 skills,20 skills,16,4,8,0.8,0.6666666666666666
19851252,19 skills,20 skills,15,5,4,0.75,0.7894736842105263
20006992,23 skills,24 skills,16,8,7,0.6666666666666666,0.6956521739130435
36102323,21 skills,15 skills,13,2,8,0.8666666666666667,0.6190476190476191
26921245,20 skills,24 skills,17,7,3,0.7083333333333334,0.85
62994611,22 skills,19 skills,15,4,7,0.7894736842105263,0.6818181818181818
14140903,28 skills,26 skills,18,8,10,0.6923076923076923,0.6428571428571429
30344127,14 skills,13 skills,10,3,4,0.7692307692307693,0.7142857142857143
19070271,14 skills,14 skills,10,4,4,0.7142857142857143,0.7142857142857143
20905088,28 skills,28 skills,20,8,8,0.7142857142857143,0.7142857142857143
21807211,18 skills,19 skills,15,4,3,0.7894736842105263,0.8333333333333334
16500168,25 skills,21 skills,17,4,8,0.8095238095238095,0.68
29640922,20 skills,19 skills,11,8,9,0.5789473684210527,0.55
10876132,17 skills,17 skills,12,5,5,0.7058823529411765,0.7058823529411765
30430249,22 skills,24 skills,19,5,3,0.7916666666666666,0.8636363636363636
35603950,25 skills,25 skills,18,7,7,0.72,0.72
27694040,15 skills,18 skills,11,7,4,0.6111111111111112,0.7333333333333333
35121930,17 skills,17 skills,10,7,7,0.5882352941176471,0.5882352941176471
27091280,17 skills,20 skills,14,6,3,0.7,0.8235294117647058
31761591,18 skills,20 skills,15,5,3,0.75,0.8333333333333334
14413257,21 skills,22 skills,18,4,3,0.8181818181818182,0.8571428571428571
27099856,22 skills,22 skills,14,8,8,0.6363636363636364,0.6363636363636364
16985289,26 skills,23 skills,20,3,6,0.8695652173913043,0.7692307692307693
78273826,14 skills,17 skills,10,7,4,0.5882352941176471,0.7142857142857143
31362807,14 skills,14 skills,10,4,4,0.7142857142857143,0.7142857142857143
14304010,20 skills,21 skills,15,6,5,0.7142857142857143,0.75
27096796,19 skills,20 skills,12,8,7,0.6,0.631578947368421
24349611,23 skills,24 skills,19,5,4,0.7916666666666666,0.8260869565217391
73497035,21 skills,20 skills,15,5,6,0.75,0.7142857142857143
18029935,21 skills,21 skills,14,7,7,0.6666666666666666,0.6666666666666666
34304175,16 skills,19 skills,11,8,5,0.5789473684210527,0.6875
11995013,25 skills,18 skills,15,3,10,0.8333333333333334,0.6
99033098,29 skills,24 skills,20,4,9,0.8333333333333334,0.6896551724137931
14248724,20 skills,16 skills,13,3,7,0.8125,0.65
12334650,24 skills,21 skills,15,6,9,0.7142857142857143,0.625
36758947,23 skills,24 skills,18,6,5,0.75,0.782608695652174
20148147,18 skills,17 skills,14,3,4,0.8235294117647058,0.7777777777777778
16887936,13 skills,17 skills,10,7,3,0.5882352941176471,0.7692307692307693
18319061,22 skills,17 skills,14,3,8,0.8235294117647058,0.6363636363636364
83206166,20 skills,20 skills,16,4,4,0.8,0.8
36379931,19 skills,19 skills,12,7,7,0.631578947368421,0.631578947368421
11555549,16 skills,13 skills,11,2,5,0.8461538461538461,0.6875
24983760,17 skills,19 skills,11,8,6,0.5789473684210527,0.6470588235294118
30594821,22 skills,23 skills,15,8,7,0.6521739130434783,0.6818181818181818
25926667,20 skills,20 skills,16,4,4,0.8,0.8
33344933,21 skills,17 skills,12,5,9,0.7058823529411765,0.5714285714285714
97449528,20 skills,20 skills,14,6,6,0.7,0.7
15100547,27 skills,25 skills,19,6,8,0.76,0.7037037037037037
11257723,28 skills,23 skills,20,3,8,0.8695652173913043,0.7142857142857143
84295343,20 skills,15 skills,12,3,8,0.8,0.6
24592627,30 skills,27 skills,20,7,10,0.7407407407407407,0.6666666666666666
99680385,25 skills,25 skills,20,5,5,0.8,0.8
