resume_id,cause
11759079,E - ontology miss
13072019,E - ontology miss
80053367,E - ontology miss
36425270,E - ontology miss
23636277,E - ontology miss
39674178,E - ontology miss
24703009,E - ontology miss
14496667,E - ontology miss
13491889,E - ontology miss
18132924,E - ontology miss
82649935,E - ontology miss
43685045,E - ontology miss
28111403,E - ontology miss
30741799,E - ontology miss
72652441,E - ontology miss
17254634,E - ontology miss
24695561,E - ontology miss
19234823,E - ontology miss
40088790,E - ontology miss
32965335,E - ontology miss
23577836,E - ontology miss
20765795,E - ontology miss
19108760,E - ontology miss
24068423,E - ontology miss
18264694,E - ontology miss
26070334,E - ontology miss
28733974,E - ontology miss
19851252,E - ontology miss
26921245,E - ontology miss
62994611,E - ontology miss
30344127,E - ontology miss
19070271,E - ontology miss
20905088,E - ontology miss
21807211,E - ontology miss
16500168,E - ontology miss
35121930,E - ontology miss
27091280,E - ontology miss
78273826,E - ontology miss
14304010,E - ontology miss
27096796,E - ontology miss
24349611,E - ontology miss
73497035,E - ontology miss
18029935,E - ontology miss
34304175,E - ontology miss
11995013,E - ontology miss
99033098,E - ontology miss
20148147,E - ontology miss
16887936,E - ontology miss
36379931,E - ontology miss
33344933,E - ontology miss
84295343,E - ontology miss
24592627,E - ontology miss
15210069,E - ontology miss
17483843,E - ontology miss
36252245,E - ontology miss
25625173,E - ontology miss
30148777,E - ontology miss
11137306,E - ontology miss
11333001,E - ontology miss
27902692,E - ontology miss
17008356,E - ontology miss
12043694,E - ontology miss
22168194,E - ontology miss
31536294,E - ontology miss
38663892,E - ontology miss
82738323,E - ontology miss
21796843,E - ontology miss
27606527,E - ontology miss
26987539,E - ontology miss
25200253,E - ontology miss
11842348,E - ontology miss
13393401,E - ontology miss
15856762,E - ontology miss
45167858,E - ontology miss
34953092,E - ontology miss
77156708,E - ontology miss
65864767,E - ontology miss
11262933,E - ontology miss
41152404,E - ontology miss
63158213,E - ontology miss
24964303,E - ontology miss
15423153,E - ontology miss
14752209,E - ontology miss
14055971,E - ontology miss
10235211,E - ontology miss
14726000,E - ontology miss
33424600,E - ontology miss
12230301,E - ontology miss
35673335,E - ontology miss
18236085,E - ontology miss
24412546,E - ontology miss
28396528,E - ontology miss
28230807,E - ontology miss
21611637,E - ontology miss
25924968,E - ontology miss
24709432,E - ontology miss
27298953,E - ontology miss
23568731,E - ontology miss
21101152,E - ontology miss
57262959,E - ontology miss
