resume_id,cluster
25834360,seniority mismatch
16985289,industry qualifier mismatch
87520378,seniority mismatch
24964303,seniority mismatch
17483843,seniority mismatch
30563572,seniority mismatch
21866029,industry qualifier mismatch
38663892,headline selection failure
35121930,latest-role selection failure
29211919,seniority mismatch
27980446,industry qualifier mismatch
13411858,abbreviation mismatch
20879311,seniority mismatch
14248724,seniority mismatch
20748468,abbreviation mismatch
80162314,seniority mismatch
29161565,seniority mismatch
17254634,seniority mismatch
12071138,industry qualifier mismatch
28126340,abbreviation mismatch
29930479,seniority mismatch
19201175,seniority mismatch
18927233,abbreviation mismatch
26908066,industry qualifier mismatch
14304010,industry qualifier mismatch
37792474,latest-role selection failure
29486525,latest-role selection failure
45475027,seniority mismatch
24592627,headline selection failure
38108845,industry qualifier mismatch
51209395,latest-role selection failure
17660419,industry qualifier mismatch
26330995,seniority mismatch
18236085,seniority mismatch
13072019,seniority mismatch
17915015,industry qualifier mismatch
17111768,seniority mismatch
31761591,seniority mismatch
51638201,latest-role selection failure
29640922,seniority mismatch
22323967,seniority mismatch
24983760,seniority mismatch
21773106,industry qualifier mismatch
24709432,industry qualifier mismatch
19234823,abbreviation mismatch
27096796,multi-role ambiguity
11759079,abbreviation mismatch
19545827,seniority mismatch
40018190,seniority mismatch
43685045,seniority mismatch
27099856,seniority mismatch
25924968,industry qualifier mismatch
73157997,seniority mismatch
35325329,seniority mismatch
23398733,industry qualifier mismatch
26921245,seniority mismatch
18208580,industry qualifier mismatch
18132924,seniority mismatch
16203589,multi-role ambiguity
24349611,seniority mismatch
52684666,seniority mismatch
12415691,seniority mismatch
14413148,seniority mismatch
19786924,industry qualifier mismatch
73497035,seniority mismatch
32965335,headline selection failure
10464113,seniority mismatch
24068423,abbreviation mismatch
57364820,industry qualifier mismatch
16861758,industry qualifier mismatch
13367322,abbreviation mismatch
27084878,industry qualifier mismatch
14209965,industry qualifier mismatch
64468610,seniority mismatch
66741193,seniority mismatch
74236636,seniority mismatch
25723793,industry qualifier mismatch
27091280,headline selection failure
33236701,seniority mismatch
28198029,abbreviation mismatch
82118447,seniority mismatch
11995013,seniority mismatch
17481570,seniority mismatch
18293620,industry qualifier mismatch
18975686,seniority mismatch
