resume_id,raw_resume_text_snippet,ground_truth_title,extracted_title,normalized_title,final_title_used_in_metrics
11759079,Snippet...,Professional,Director,Director,Director
13072019,Snippet...,Executive,Manager,Manager,Manager
80053367,Snippet...,Professional,Lead,Lead,Lead
36425270,Snippet...,Specialist,Manager,Manager,Manager
23636277,Snippet...,Consultant,Analyst,Analyst,Analyst
39674178,Snippet...,Executive,Manager,Manager,Manager
24703009,Snippet...,Director,Manager,Manager,Manager
14496667,Snippet...,Officer,Manager,Manager,Manager
13491889,Snippet...,Executive,Consultant,Consultant,Consultant
18132924,Snippet...,Executive,Manager,Manager,Manager
82649935,Snippet...,Professional,Manager,Manager,Manager
43685045,Snippet...,Professional,Lead,Lead,Lead
28111403,Snippet...,Executive,�  L2000  Leadership Academy,�  L2000  Leadership Academy,�  L2000  Leadership Academy
30741799,Snippet...,Professional,Lead,Lead,Lead
72652441,Snippet...,Specialist,Manager,Manager,Manager
17254634,Snippet...,Professional,Lead,Lead,Lead
24695561,Snippet...,Executive,Manager,Manager,Manager
19234823,Snippet...,Director,Manager,Manager,Manager
40088790,Snippet...,Specialist,Manager,Manager,Manager
32965335,Snippet...,Engineer,Manager,Manager,Manager
23577836,Snippet...,Executive,Director,Director,Director
20765795,Snippet...,Specialist,*Learning To Lead Certificate,*Learning To Lead Certificate,*Learning To Lead Certificate
19108760,Snippet...,Director,Manager,Manager,Manager
24068423,Snippet...,Officer,Consultant,Consultant,Consultant
18264694,Snippet...,Executive,Manager,Manager,Manager
26070334,Snippet...,Specialist,Batch Record Coordinator / Document Control         Summary,Batch Record Coordinator / Document Control         Summary,Batch Record Coordinator / Document Control         Summary
28733974,Snippet...,Executive,Manager,Manager,Manager
19851252,Snippet...,Professional,Engineer,Engineer,Engineer
26921245,Snippet...,Professional,Lead,Lead,Lead
62994611,Snippet...,Developer,Engineer,Engineer,Engineer
30344127,Snippet...,Analyst,Engineer,Engineer,Engineer
19070271,Snippet...,Professional,Engineer,Engineer,Engineer
20905088,Snippet...,Director,Manager,Manager,Manager
21807211,Snippet...,Specialist,Director,Director,Director
16500168,Snippet...,Director,Manager,Manager,Manager
35121930,Snippet...,Professional,Engineer,Engineer,Engineer
27091280,Snippet...,Specialist,Manager,Manager,Manager
78273826,Snippet...,Director,Manager,Manager,Manager
14304010,Snippet...,Director,Manager,Manager,Manager
27096796,Snippet...,Professional,Lead,Lead,Lead
24349611,Snippet...,Specialist,Manager,Manager,Manager
73497035,Snippet...,Analyst,Manager,Manager,Manager
18029935,Snippet...,Executive,Director,Director,Director
34304175,Snippet...,Executive,Manager,Manager,Manager
11995013,Snippet...,Professional,Lead,Lead,Lead
99033098,Snippet...,Executive,Manager,Manager,Manager
20148147,Snippet...,Consultant,Manager,Manager,Manager
16887936,Snippet...,Specialist,Manager,Manager,Manager
36379931,Snippet...,Executive,Director,Director,Director
33344933,Snippet...,Professional,Lead,Lead,Lead
84295343,Snippet...,Professional,Lead,Lead,Lead
24592627,Snippet...,Officer,Manager,Manager,Manager
15210069,Snippet...,Specialist,Manager,Manager,Manager
17483843,Snippet...,Specialist,Engineer,Engineer,Engineer
36252245,Snippet...,Specialist,Excellent Leadership Skills,Excellent Leadership Skills,Excellent Leadership Skills
25625173,Snippet...,Executive,Manager,Manager,Manager
30148777,Snippet...,Professional,Manager,Manager,Manager
11137306,Snippet...,Specialist,Engineer,Engineer,Engineer
11333001,Snippet...,Professional,Manager,Manager,Manager
27902692,Snippet...,Specialist,Engineer,Engineer,Engineer
17008356,Snippet...,Executive,Manager,Manager,Manager
12043694,Snippet...,Officer,Manager,Manager,Manager
22168194,Snippet...,Professional,Lead,Lead,Lead
