resume_id,raw_title,normalized_title,failure_reason
11759079,Director,Professional,alias missing
13072019,Manager,Executive,alias missing
80053367,Lead,Professional,alias missing
36425270,Manager,Specialist,alias missing
23636277,Analyst,Consultant,alias missing
39674178,Manager,Executive,alias missing
24703009,Manager,Director,alias missing
14496667,Manager,Officer,alias missing
13491889,Consultant,Executive,alias missing
18132924,Manager,Executive,alias missing
82649935,Manager,Professional,alias missing
43685045,Lead,Professional,alias missing
28111403,�  L2000  Leadership Academy,Executive,word order variation
30741799,Lead,Professional,alias missing
72652441,Manager,Specialist,alias missing
17254634,Lead,Professional,alias missing
24695561,Manager,Executive,alias missing
19234823,Manager,Director,alias missing
40088790,Manager,Specialist,alias missing
32965335,Manager,Engineer,alias missing
23577836,Director,Executive,alias missing
20765795,*Learning To Lead Certificate,Specialist,word order variation
19108760,Manager,Director,alias missing
24068423,Consultant,Officer,alias missing
18264694,Manager,Executive,alias missing
26070334,Batch Record Coordinator / Document Control         Summary,Specialist,word order variation
28733974,Manager,Executive,alias missing
19851252,Engineer,Professional,alias missing
26921245,Lead,Professional,alias missing
62994611,Engineer,Developer,alias missing
30344127,Engineer,Analyst,alias missing
19070271,Engineer,Professional,alias missing
20905088,Manager,Director,alias missing
21807211,Director,Specialist,alias missing
16500168,Manager,Director,alias missing
35121930,Engineer,Professional,alias missing
27091280,Manager,Specialist,alias missing
78273826,Manager,Director,alias missing
14304010,Manager,Director,alias missing
27096796,Lead,Professional,alias missing
24349611,Manager,Specialist,alias missing
73497035,Manager,Analyst,alias missing
18029935,Director,Executive,alias missing
34304175,Manager,Executive,alias missing
11995013,Lead,Professional,alias missing
99033098,Manager,Executive,alias missing
20148147,Manager,Consultant,alias missing
16887936,Manager,Specialist,alias missing
36379931,Director,Executive,alias missing
33344933,Lead,Professional,alias missing
84295343,Lead,Professional,alias missing
24592627,Manager,Officer,alias missing
15210069,Manager,Specialist,alias missing
17483843,Engineer,Specialist,alias missing
36252245,Excellent Leadership Skills,Specialist,plural variation
25625173,Manager,Executive,alias missing
30148777,Manager,Professional,alias missing
11137306,Engineer,Specialist,alias missing
11333001,Manager,Professional,alias missing
27902692,Engineer,Specialist,alias missing
17008356,Manager,Executive,alias missing
12043694,Manager,Officer,alias missing
22168194,Lead,Professional,alias missing
31536294,Engineer,Specialist,alias missing
38663892,Manager,Specialist,alias missing
82738323,Lead,Professional,alias missing
21796843,Manager,Consultant,alias missing
27606527,Manager,Analyst,alias missing
26987539,Manager,Specialist,alias missing
25200253,Manager,Analyst,alias missing
11842348,Manager,Director,alias missing
13393401,Manager,Officer,alias missing
15856762,Manager,Executive,alias missing
45167858,Manager,Specialist,alias missing
34953092,Engineer,Analyst,alias missing
77156708,Manager,Officer,alias missing
65864767,Manager,Executive,alias missing
11262933,Manager,Executive,alias missing
41152404,Engineer,Analyst,alias missing
63158213,Configuration Of Mpls Wan Routers  Cisco Call Manager And,Engineer,word order variation
24964303,Manager,Director,alias missing
15423153,Manager,Executive,alias missing
14752209,Manager,Director,alias missing
14055971,Director,Executive,alias missing
10235211,Specialist,Executive,alias missing
14726000,Manager,Consultant,alias missing
33424600,Manager,Specialist,alias missing
12230301,Manager,Specialist,alias missing
35673335,Manager,Consultant,alias missing
18236085,Manager,Director,alias missing
24412546,Manager,Executive,alias missing
28396528,Manager,Specialist,alias missing
28230807,Manager,Director,alias missing
21611637,Manager,Executive,alias missing
25924968,Manager,Executive,alias missing
24709432,Manager,Specialist,alias missing
27298953,Partner With Teacher In,Consultant,word order variation
23568731,Lead,Professional,alias missing
21101152,Consultant,Executive,alias missing
57262959,Manager,Specialist,alias missing
34252537,Manager,Executive,alias missing
10100240,Lead,Professional,alias missing
23818675,Manager,Specialist,alias missing
32773331,*Efficient Management And Leadership Ability,Engineer,word order variation
90032884,Manager,Engineer,alias missing
45475027,*Leader Worksite Safety,Manager,alias missing
12654876,*Electrical Engineering Technology,Manager,alias missing
61065616,Engineer,Professional,alias missing
78298706,Lead,Professional,alias missing
13313917,Manager,Consultant,alias missing
51432451,Manager,Consultant,alias missing
17983957,Manager,Consultant,alias missing
17025292,Director,Specialist,alias missing
95429627,Manager,Consultant,alias missing
71888547,Manager,Consultant,alias missing
34875813,Manager,Consultant,alias missing
15083600,Developer,Consultant,alias missing
29196643,Manager,Consultant,alias missing
29647215,Manager,Consultant,alias missing
37818861,"Of The House Manager, Kitchen Manager, And Bar Manager.",Consultant,word order variation
38399177,Manager,Consultant,alias missing
99714410,Engineer,Consultant,alias missing
12374933,Manager,Consultant,alias missing
22259768,Engineer,Consultant,alias missing
57364820,Manager,Consultant,alias missing
39308779,Manager,Consultant,alias missing
91189201,Manager,Consultant,alias missing
31016926,Manager,Consultant,alias missing
15699744,Manager,Consultant,alias missing
30083884,"Architect, State Of Texas License #6624",Consultant,word order variation
20314980,Manager,Consultant,alias missing
29147100,Lead,Professional,alias missing
54201930,Coordinator,Professional,alias missing
