raw_title,normalized_title,domain,seniority
Manager,Executive,Business,Mid
Engineer,Professional,Tech,Mid
Lead,Professional,Business,Mid
Director,Professional,Business,Mid
Teacher,Professional,Business,Mid
Analyst,Consultant,Business,Mid
Consultant,Executive,Business,Mid
Coordinator,Professional,Business,Mid
Specialist,Executive,Business,Mid
Developer,Consultant,Tech,Mid
�  L2000  Leadership Academy,Executive,Business,Mid
*Learning To Lead Certificate,Specialist,Business,Mid
Batch Record Coordinator / Document Control         Summary,Specialist,Business,Mid
Excellent Leadership Skills,Specialist,Business,Mid
Configuration Of Mpls Wan Routers  Cisco Call Manager And,Engineer,Business,Mid
Partner With Teacher In,Consultant,Business,Mid
*Efficient Management And Leadership Ability,Engineer,Business,Mid
*Leader Worksite Safety,Manager,Business,Mid
*Electrical Engineering Technology,Manager,Tech,Mid
"Of The House Manager, Kitchen Manager, And Bar Manager.",Consultant,Business,Mid
"Architect, State Of Texas License #6624",Consultant,Business,Mid
Events Coordinator Of Yoga And Pilates Club,Officer,Business,Mid
