resume_id,cause
11759079,D - overlap double counted
26975573,D - overlap double counted
13072019,D - overlap double counted
80053367,D - overlap double counted
15906625,D - overlap double counted
36425270,D - overlap double counted
49997097,D - overlap double counted
23636277,D - overlap double counted
29050809,E - present parsing failure
19545827,D - overlap double counted
24703009,D - overlap double counted
28298773,D - overlap double counted
14496667,D - overlap double counted
18132924,D - overlap double counted
24799301,E - present parsing failure
39115899,D - overlap double counted
82649935,D - overlap double counted
43685045,D - overlap double counted
10659182,D - overlap double counted
17021141,E - present parsing failure
28111403,D - overlap double counted
36392131,D - overlap double counted
30741799,D - overlap double counted
72652441,E - present parsing failure
15958967,E - present parsing failure
17254634,D - overlap double counted
24695561,E - present parsing failure
20138606,D - overlap double counted
19234823,D - overlap double counted
29173771,E - present parsing failure
74191424,D - overlap double counted
37333719,D - overlap double counted
40088790,D - overlap double counted
32965335,D - overlap double counted
20765795,D - overlap double counted
12544735,D - overlap double counted
22042181,E - present parsing failure
19108760,D - overlap double counted
24068423,D - overlap double counted
18264694,D - overlap double counted
26070334,E - present parsing failure
28733974,E - present parsing failure
28165687,D - overlap double counted
20006992,E - present parsing failure
36102323,D - overlap double counted
26921245,D - overlap double counted
62994611,D - overlap double counted
14140903,D - overlap double counted
30344127,D - overlap double counted
19070271,E - present parsing failure
20905088,E - present parsing failure
21807211,D - overlap double counted
16500168,D - overlap double counted
29640922,D - overlap double counted
10876132,D - overlap double counted
35603950,D - overlap double counted
27694040,D - overlap double counted
35121930,E - present parsing failure
27091280,D - overlap double counted
31761591,D - overlap double counted
14413257,D - overlap double counted
27099856,D - overlap double counted
16985289,D - overlap double counted
78273826,D - overlap double counted
31362807,E - present parsing failure
14304010,D - overlap double counted
27096796,D - overlap double counted
24349611,E - present parsing failure
73497035,D - overlap double counted
18029935,D - overlap double counted
34304175,D - overlap double counted
11995013,D - overlap double counted
99033098,E - present parsing failure
14248724,D - overlap double counted
12334650,D - overlap double counted
36758947,D - overlap double counted
16887936,D - overlap double counted
83206166,D - overlap double counted
36379931,D - overlap double counted
11555549,D - overlap double counted
24983760,D - overlap double counted
30594821,D - overlap double counted
25926667,D - overlap double counted
33344933,D - overlap double counted
97449528,D - overlap double counted
11257723,D - overlap double counted
15210069,D - overlap double counted
17483843,D - overlap double counted
36252245,D - overlap double counted
25625173,E - present parsing failure
30148777,D - overlap double counted
11137306,D - overlap double counted
11333001,E - present parsing failure
38047274,E - present parsing failure
17008356,D - overlap double counted
19506295,D - overlap double counted
70198580,D - overlap double counted
22168194,D - overlap double counted
17694572,D - overlap double counted
31536294,D - overlap double counted
