resume_id,ground_truth_years,parsed_years,error,root_cause
25834360,26,39,13,overlapping dates double counted
16985289,16,26,10,projects mistaken as experience
87520378,7,16,9,overlapping dates double counted
24964303,18,30,12,education mistaken as experience
17483843,10,22,12,projects mistaken as experience
30563572,22,34,12,projects mistaken as experience
21866029,8,20,12,overlapping dates double counted
38663892,8,19,11,overlapping dates double counted
35121930,19,28,9,overlapping dates double counted
29211919,7,7,0,projects mistaken as experience
27980446,24,24,0,overlapping dates double counted
13411858,26,38,12,projects mistaken as experience
20879311,14,28,14,projects mistaken as experience
14248724,16,27,11,projects mistaken as experience
20748468,8,27,19,career gap handling failure
80162314,7,19,12,overlapping dates double counted
29161565,5,14,9,projects mistaken as experience
17254634,7,18,11,education mistaken as experience
12071138,12,26,14,projects mistaken as experience
28126340,7,26,19,projects mistaken as experience
29930479,18,30,12,projects mistaken as experience
19201175,3,10,7,overlapping dates double counted
18927233,5,15,10,projects mistaken as experience
26908066,9,20,11,career gap handling failure
14304010,4,14,10,projects mistaken as experience
37792474,24,36,12,career gap handling failure
29486525,29,29,0,overlapping dates double counted
45475027,15,25,10,career gap handling failure
24592627,42,42,0,projects mistaken as experience
38108845,19,28,9,education mistaken as experience
51209395,14,25,11,overlapping dates double counted
17660419,11,23,12,career gap handling failure
26330995,19,30,11,projects mistaken as experience
18236085,18,29,11,career gap handling failure
13072019,20,43,23,overlapping dates double counted
17915015,17,27,10,career gap handling failure
17111768,9,20,11,career gap handling failure
31761591,18,29,11,career gap handling failure
51638201,24,35,11,education mistaken as experience
29640922,15,26,11,career gap handling failure
22323967,6,17,11,projects mistaken as experience
24983760,20,31,11,career gap handling failure
21773106,16,16,0,education mistaken as experience
24709432,36,48,12,projects mistaken as experience
19234823,21,35,14,education mistaken as experience
27096796,11,23,12,projects mistaken as experience
11759079,5,20,15,projects mistaken as experience
19545827,17,28,11,overlapping dates double counted
40018190,1,13,12,education mistaken as experience
43685045,9,23,14,education mistaken as experience
27099856,11,22,11,projects mistaken as experience
25924968,16,27,11,projects mistaken as experience
73157997,12,27,15,overlapping dates double counted
35325329,11,26,15,education mistaken as experience
23398733,8,18,10,projects mistaken as experience
26921245,6,17,11,overlapping dates double counted
18208580,7,23,16,projects mistaken as experience
18132924,9,18,9,projects mistaken as experience
16203589,18,18,0,overlapping dates double counted
24349611,28,38,10,career gap handling failure
52684666,5,17,12,education mistaken as experience
12415691,5,16,11,overlapping dates double counted
14413148,35,50,15,overlapping dates double counted
19786924,26,34,8,projects mistaken as experience
73497035,7,16,9,projects mistaken as experience
32965335,3,29,26,career gap handling failure
10464113,38,49,11,overlapping dates double counted
24068423,15,26,11,projects mistaken as experience
57364820,25,25,0,career gap handling failure
16861758,9,27,18,career gap handling failure
13367322,14,21,7,projects mistaken as experience
27084878,11,24,13,career gap handling failure
14209965,6,18,12,projects mistaken as experience
64468610,20,32,12,overlapping dates double counted
66741193,15,27,12,projects mistaken as experience
74236636,15,24,9,projects mistaken as experience
25723793,11,20,9,career gap handling failure
27091280,14,25,11,overlapping dates double counted
33236701,3,13,10,projects mistaken as experience
28198029,28,41,13,overlapping dates double counted
82118447,35,46,11,projects mistaken as experience
11995013,7,19,12,career gap handling failure
17481570,3,13,10,projects mistaken as experience
18293620,14,24,10,overlapping dates double counted
18975686,37,37,0,overlapping dates double counted
83206166,9,19,10,education mistaken as experience
28230807,13,26,13,overlapping dates double counted
31243710,28,41,13,career gap handling failure
22720697,31,45,14,education mistaken as experience
24658786,28,38,10,career gap handling failure
26780935,7,22,15,projects mistaken as experience
31552617,28,38,10,projects mistaken as experience
27090089,14,26,12,projects mistaken as experience
76454959,24,37,13,projects mistaken as experience
34712719,2,11,9,overlapping dates double counted
67032711,5,13,8,overlapping dates double counted
36758947,6,18,12,overlapping dates double counted
31362807,35,47,12,overlapping dates double counted
25413261,18,33,15,career gap handling failure
28298773,11,20,9,projects mistaken as experience
12674307,6,18,12,overlapping dates double counted
11842274,26,33,7,career gap handling failure
24799301,35,52,17,projects mistaken as experience
23955183,7,20,13,career gap handling failure
25838512,1,11,10,career gap handling failure
62994611,9,14,5,projects mistaken as experience
20566550,5,14,9,career gap handling failure
34875813,12,25,13,career gap handling failure
14408510,16,26,10,career gap handling failure
26987539,9,21,12,overlapping dates double counted
