resume_id,ground_truth_years,parsed_years,absolute_error,root_cause,raw_text_snippet
11759079,5,19.75,14.75,overlapping jobs double counted,Snippet unavailable
26975573,26,11.083333333333334,14.916666666666666,multiple date formats missed,Snippet unavailable
13072019,20,38.91666666666666,18.916666666666664,overlapping jobs double counted,Snippet unavailable
80053367,16,25.83333333333333,9.833333333333332,overlapping jobs double counted,Snippet unavailable
15906625,11,20.166666666666668,9.166666666666668,overlapping jobs double counted,Snippet unavailable
36425270,4,17.416666666666668,13.416666666666668,overlapping jobs double counted,Snippet unavailable
49997097,10,19.33333333333333,9.333333333333332,overlapping jobs double counted,Snippet unavailable
23636277,7,16.083333333333332,9.083333333333332,overlapping jobs double counted,Snippet unavailable
29050809,26,35.333333333333336,9.333333333333336,overlapping jobs double counted,Snippet unavailable
18669563,10,6.833333333333333,3.166666666666667,multiple date formats missed,Snippet unavailable
24703009,10,22.666666666666668,12.666666666666668,overlapping jobs double counted,Snippet unavailable
28298773,11,18.166666666666668,7.166666666666668,overlapping jobs double counted,Snippet unavailable
14496667,7,17.5,10.5,overlapping jobs double counted,Snippet unavailable
18132924,9,15.916666666666666,6.916666666666666,overlapping jobs double counted,Snippet unavailable
24799301,35,29.416666666666668,5.583333333333332,multiple date formats missed,Snippet unavailable
39115899,10,19.666666666666668,9.666666666666668,overlapping jobs double counted,Snippet unavailable
82649935,5,15.5,10.5,overlapping jobs double counted,Snippet unavailable
43685045,9,21.5,12.5,overlapping jobs double counted,Snippet unavailable
10659182,13,22.75,9.75,overlapping jobs double counted,Snippet unavailable
28111403,20,30.916666666666668,10.916666666666668,overlapping jobs double counted,Snippet unavailable
36392131,21,33.083333333333336,12.083333333333336,overlapping jobs double counted,Snippet unavailable
30741799,7,18.25,11.25,overlapping jobs double counted,Snippet unavailable
72652441,14,21.08333333333333,7.083333333333332,overlapping jobs double counted,Snippet unavailable
15958967,23,32.083333333333336,9.083333333333336,overlapping jobs double counted,Snippet unavailable
17254634,7,17.833333333333332,10.833333333333332,overlapping jobs double counted,Snippet unavailable
19234823,21,34.916666666666664,13.916666666666664,overlapping jobs double counted,Snippet unavailable
29173771,39,16.75,22.25,multiple date formats missed,Snippet unavailable
18725071,19,11.833333333333334,7.166666666666666,multiple date formats missed,Snippet unavailable
74191424,9,15.0,6.0,overlapping jobs double counted,Snippet unavailable
37333719,15,21.33333333333333,6.333333333333332,overlapping jobs double counted,Snippet unavailable
23577836,12,7.833333333333333,4.166666666666667,multiple date formats missed,Snippet unavailable
20765795,14,23.33333333333333,9.333333333333332,overlapping jobs double counted,Snippet unavailable
12544735,7,16.666666666666668,9.666666666666668,overlapping jobs double counted,Snippet unavailable
22042181,30,19.5,10.5,multiple date formats missed,Snippet unavailable
19108760,13,28.83333333333333,15.833333333333332,overlapping jobs double counted,Snippet unavailable
10953078,32,21.416666666666668,10.583333333333332,multiple date formats missed,Snippet unavailable
18264694,19,11.25,7.75,multiple date formats missed,Snippet unavailable
26070334,28,34.416666666666664,6.416666666666664,overlapping jobs double counted,Snippet unavailable
28165687,10,21.416666666666668,11.416666666666668,overlapping jobs double counted,Snippet unavailable
20006992,30,21.0,9.0,multiple date formats missed,Snippet unavailable
26921245,6,13.75,7.75,overlapping jobs double counted,Snippet unavailable
14140903,8,21.666666666666668,13.666666666666668,overlapping jobs double counted,Snippet unavailable
30344127,15,25.58333333333333,10.583333333333332,overlapping jobs double counted,Snippet unavailable
20905088,35,19.666666666666668,15.333333333333332,multiple date formats missed,Snippet unavailable
21807211,9,16.333333333333332,7.333333333333332,overlapping jobs double counted,Snippet unavailable
16500168,5,0.0,5.0,multiple date formats missed,Snippet unavailable
10876132,16,7.833333333333333,8.166666666666668,multiple date formats missed,Snippet unavailable
30430249,30,2.9166666666666665,27.08333333333333,multiple date formats missed,Snippet unavailable
35603950,6,15.75,9.75,overlapping jobs double counted,Snippet unavailable
27694040,8,20.83333333333333,12.833333333333332,overlapping jobs double counted,Snippet unavailable
35121930,19,9.333333333333334,9.666666666666666,multiple date formats missed,Snippet unavailable
27091280,14,24.5,10.5,overlapping jobs double counted,Snippet unavailable
31761591,18,21.83333333333333,3.833333333333332,overlapping jobs double counted,Snippet unavailable
14413257,14,23.75,9.75,overlapping jobs double counted,Snippet unavailable
27099856,11,21.666666666666668,10.666666666666668,overlapping jobs double counted,Snippet unavailable
16985289,16,22.25,6.25,overlapping jobs double counted,Snippet unavailable
78273826,16,25.416666666666668,9.416666666666668,overlapping jobs double counted,Snippet unavailable
31362807,35,46.75,11.75,overlapping jobs double counted,Snippet unavailable
14304010,4,14.416666666666666,10.416666666666666,overlapping jobs double counted,Snippet unavailable
27096796,11,19.416666666666668,8.416666666666668,overlapping jobs double counted,Snippet unavailable
24349611,28,37.25,9.25,overlapping jobs double counted,Snippet unavailable
73497035,7,15.666666666666666,8.666666666666666,overlapping jobs double counted,Snippet unavailable
18029935,24,41.66666666666666,17.666666666666664,overlapping jobs double counted,Snippet unavailable
34304175,9,23.75,14.75,overlapping jobs double counted,Snippet unavailable
99033098,26,21.416666666666668,4.583333333333332,multiple date formats missed,Snippet unavailable
14248724,16,21.25,5.25,overlapping jobs double counted,Snippet unavailable
12334650,17,12.833333333333334,4.166666666666666,multiple date formats missed,Snippet unavailable
16887936,5,17.0,12.0,overlapping jobs double counted,Snippet unavailable
83206166,9,18.75,9.75,overlapping jobs double counted,Snippet unavailable
36379931,6,16.416666666666668,10.416666666666668,overlapping jobs double counted,Snippet unavailable
11555549,23,37.41666666666666,14.416666666666664,overlapping jobs double counted,Snippet unavailable
24983760,20,15.0,5.0,multiple date formats missed,Snippet unavailable
30594821,1,11.583333333333334,10.583333333333334,overlapping jobs double counted,Snippet unavailable
25926667,6,16.833333333333332,10.833333333333332,overlapping jobs double counted,Snippet unavailable
33344933,19,13.666666666666666,5.333333333333334,multiple date formats missed,Snippet unavailable
15100547,16,11.5,4.5,multiple date formats missed,Snippet unavailable
84295343,8,2.333333333333333,5.666666666666666,multiple date formats missed,Snippet unavailable
24592627,42,38.66666666666666,3.333333333333336,multiple date formats missed,Snippet unavailable
99680385,33,2.4166666666666665,30.58333333333333,multiple date formats missed,Snippet unavailable
17483843,10,0.0,10.0,multiple date formats missed,Snippet unavailable
17686472,19,10.0,9.0,multiple date formats missed,Snippet unavailable
25625173,37,48.41666666666666,11.416666666666664,overlapping jobs double counted,Snippet unavailable
11333001,20,12.833333333333334,7.166666666666666,multiple date formats missed,Snippet unavailable
81588968,25,15.0,10.0,multiple date formats missed,Snippet unavailable
38047274,26,20.25,5.75,multiple date formats missed,Snippet unavailable
