Role,Rank,Candidate ID,Title,Total Score,TitleAff,SkillAff,CareerAff,SemSim,BM25,Quality,Penalty,Engine Reasoning
Search,1,CAND_0061655,machine learning engineer,9.6,2.5,2.5,0.94,0.62,0.5,2.54,0.0,"Strong title match, Strong skill match"
Search,2,CAND_0001610,machine learning engineer,9.48,2.5,2.0,1.25,0.75,0.6,2.38,0.0,"Strong title match, Strong skill match"
Search,3,CAND_0032515,machine learning engineer,8.93,2.5,2.5,0.94,0.62,0.5,1.86,0.0,"Strong title match, Strong skill match"
Search,4,CAND_0051630,machine learning engineer,8.86,2.5,2.0,1.25,0.75,0.6,1.76,0.0,"Strong title match, Strong skill match"
Search,5,CAND_0072660,machine learning engineer,8.82,2.5,2.5,0.94,0.62,0.5,1.75,0.0,"Strong title match, Strong skill match"
Search,6,CAND_0088025,staff machine learning engineer,8.69,2.5,2.0,0.94,0.5,0.4,2.35,0.0,"Strong title match, Strong skill match"
Search,7,CAND_0028793,search engineer,8.66,2.5,1.0,1.25,0.62,0.5,2.79,0.0,Strong title match
Search,8,CAND_0030348,machine learning engineer,8.51,2.5,2.0,1.25,0.5,0.4,1.86,0.0,"Strong title match, Strong skill match"
Search,9,CAND_0070398,machine learning engineer,8.51,2.5,1.5,1.25,0.62,0.5,2.13,0.0,Strong title match
Search,10,CAND_0057563,nlp engineer,8.46,2.5,1.5,1.25,0.62,0.5,2.08,0.0,Strong title match
Search,11,CAND_0081686,search engineer,8.41,2.5,1.5,1.25,0.62,0.5,2.04,0.0,Strong title match
Search,12,CAND_0080766,staff machine learning engineer,8.4,2.5,1.5,1.25,0.5,0.4,2.25,0.0,Strong title match
Search,13,CAND_0076163,nlp engineer,8.36,2.5,1.5,0.94,0.38,0.3,2.74,0.0,Strong title match
Search,14,CAND_0020708,search engineer,8.3,2.5,1.5,0.94,0.62,0.5,2.24,0.0,Strong title match
Search,15,CAND_0096172,nlp engineer,8.11,2.5,1.0,1.25,0.5,0.4,2.46,0.0,Strong title match
Search,16,CAND_0081846,lead ai engineer,8.11,1.25,2.5,0.94,0.62,0.5,2.29,0.0,Strong skill match
Search,17,CAND_0012957,search engineer,8.1,2.5,1.5,0.94,0.5,0.4,2.27,0.0,Strong title match
Search,18,CAND_0083307,search engineer,8.1,2.5,1.0,1.25,0.62,0.5,2.22,0.0,Strong title match
Search,19,CAND_0046525,senior machine learning engineer,8.06,2.5,1.5,0.94,0.62,0.5,2.0,0.0,Strong title match
Search,20,CAND_0046064,senior nlp engineer,8.04,2.5,1.5,0.94,0.38,0.3,2.43,0.0,Strong title match
Frontend,1,CAND_0053183,frontend engineer,7.87,2.5,1.5,0.94,0.38,0.3,2.26,0.0,Strong title match
Frontend,2,CAND_0026960,frontend engineer,7.73,2.5,1.5,0.94,0.38,0.3,2.12,0.0,Strong title match
Frontend,3,CAND_0017476,frontend engineer,7.58,2.5,1.5,0.94,0.38,0.3,1.96,0.0,Strong title match
Frontend,4,CAND_0056173,frontend engineer,7.4,2.5,1.5,0.62,0.25,0.2,2.33,0.0,Strong title match
